Day,temp_max,temp_min,precipitacion,Pernoctacions_Habitatge_turístic,Pernoctacions_Hotel
01-01-2021,7.55,4.3,5.65,3500,8700
02-01-2021,8.55,1.55,0.0,6369,15828
03-01-2021,9.55,0.85,0.0,6904,17160
04-01-2021,10.1,0.65,0.0,5825,14478
05-01-2021,9.4,0.65,0.0,4669,11603
06-01-2021,9.7,0.25,0.5,4315,10725
07-01-2021,6.35,2.25,0.0,4412,10965
08-01-2021,6.1,0.5,5.1,5189,12898
09-01-2021,6.15,1.5,12.4,4066,10106
10-01-2021,6.65,3.6,6.0,4412,10965
11-01-2021,8.5,0.9,0.0,3028,7526
12-01-2021,7.3,0.8,0.0,2913,7239
13-01-2021,10.4,2.6,0.0,3203,7960
14-01-2021,9.55,3.6,0.0,3333,8284
15-01-2021,11.05,3.75,0.0,4271,10614
16-01-2021,12.75,3.5,0.0,3806,9459
17-01-2021,15.15,5.0,0.0,3965,9856
18-01-2021,11.85,6.8,0.2,3742,9301
19-01-2021,14.35,5.05,0.0,3244,8062
20-01-2021,12.15,7.85,0.0,3407,8469
21-01-2021,14.85,7.1,1.25,3460,8598
22-01-2021,14.7,7.45,4.65,4088,10161
23-01-2021,14.75,6.5,0.0,3404,8459
24-01-2021,16.0,8.65,0.0,3713,9227
25-01-2021,13.95,8.1,0.1,3527,8764
26-01-2021,13.2,6.75,0.0,3158,7849
27-01-2021,17.25,6.45,0.0,3467,8617
28-01-2021,18.7,9.6,0.0,3512,8728
29-01-2021,20.75,10.55,0.0,4371,10863
30-01-2021,18.7,8.5,0.05,3463,8608
31-01-2021,17.1,9.4,0.2,3668,9116
01-02-2021,19.55,11.65,0.0,4991,10418
02-02-2021,19.3,11.05,0.0,4273,8920
03-02-2021,19.2,10.45,0.0,4750,9915
04-02-2021,15.85,9.55,0.0,4771,9959
05-02-2021,14.95,9.8,0.0,5525,11533
06-02-2021,16.65,10.75,0.5,4818,10057
07-02-2021,12.75,7.0,1.0,4771,9959
08-02-2021,12.65,8.05,2.4,4572,9544
09-02-2021,13.75,7.35,1.05,3849,8035
10-02-2021,15.0,8.75,0.3,4766,9948
11-02-2021,16.35,6.85,0.0,4923,10276
12-02-2021,16.7,8.95,0.2,6049,12627
13-02-2021,16.0,7.4,3.25,5562,11609
14-02-2021,11.2,6.55,1.7,5090,10626
15-02-2021,10.2,6.75,0.85,4954,10341
16-02-2021,14.5,8.45,0.0,4095,8548
17-02-2021,16.45,8.15,0.0,4771,9959
18-02-2021,15.1,7.5,0.0,5017,10473
19-02-2021,14.75,7.65,0.0,5996,12517
20-02-2021,15.3,7.25,0.0,5415,11304
21-02-2021,13.3,9.2,0.25,5373,11217
22-02-2021,13.4,10.55,9.85,4902,10232
23-02-2021,17.3,11.55,0.0,4457,9303
24-02-2021,17.35,9.85,0.0,4928,10287
25-02-2021,16.55,9.6,0.0,5185,10823
26-02-2021,15.75,9.15,0.0,6127,12791
27-02-2021,16.0,8.35,0.0,5672,11839
28-02-2021,15.05,8.95,0.0,5520,11522
01-03-2021,14.3,10.5,0.0,5049,9522
02-03-2021,14.6,10.7,0.0,4449,8392
03-03-2021,15.45,10.0,0.0,5043,9512
04-03-2021,15.15,9.4,0.0,5192,9792
05-03-2021,14.7,9.0,0.0,6062,11434
06-03-2021,14.35,9.3,0.0,5289,9976
07-03-2021,13.3,9.4,0.8,5223,9850
08-03-2021,12.25,8.8,0.8,5028,9484
09-03-2021,15.15,7.2,0.5,4593,8663
10-03-2021,15.7,5.85,0.0,5243,9889
11-03-2021,17.95,7.5,0.0,5392,10169
